timestamp,program,flag,return_code,execution_time,pkg_energy,dram_energy,user_time,sys_time,total_time,cpu_percent,avg_text,avg_data,peak_rss,inputs,outputs,minor_pagefaults,major_pagefaults,swaps,alloc_mem,reclaimed_mem,rts_mem,total_gcs,minor_gcs,major_gcs,avg_mem,max_mem,n_samples,init_cpu,init_sys,mut_cpu,mut_sys,total_gc_cpu,total_gc_sys,minor_gc_cpu,minor_gc_sys,major_gc_cpu,major_gc_sys,balance
1685440638,circsim,-O2,0,236614.201,1628780.0,50354.0,0.21,0.00,0.21,100,0,0,6756,0,8,0,968,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.118,0.117,0.097,0.097,0.089,0.090,0.008,0.008,1
1685440639,circsim,-O2,0,237491.097,1610775.0,50536.0,0.21,0.00,0.21,99,0,0,6504,0,8,0,966,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.118,0.117,0.097,0.098,0.089,0.090,0.008,0.008,1
1685440640,circsim,-O2,0,235229.456,1603939.0,49011.0,0.20,0.00,0.21,100,0,0,6620,0,8,0,964,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.117,0.116,0.096,0.097,0.089,0.089,0.008,0.008,1
1685440645,circsim,-O2,0,235483.308,1638058.0,48584.0,0.21,0.00,0.21,100,0,0,6616,0,8,0,966,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.117,0.116,0.096,0.097,0.089,0.089,0.008,0.008,1
1685440646,circsim,-O2,0,235982.085,1630062.0,50537.0,0.20,0.00,0.21,99,0,0,6684,0,8,0,970,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.117,0.117,0.096,0.097,0.089,0.090,0.007,0.008,1
1685440648,circsim,-O2,0,236861.236,1641292.0,50476.0,0.21,0.00,0.21,99,0,0,6560,0,8,0,965,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.118,0.117,0.097,0.097,0.089,0.090,0.008,0.008,1
1685440649,circsim,-O2,0,236459.973,1632625.0,49133.0,0.21,0.00,0.21,99,0,0,6564,0,8,0,965,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.117,0.116,0.097,0.097,0.089,0.090,0.008,0.008,1
1685440650,circsim,-O2,0,235309.273,1627559.0,49255.0,0.21,0.00,0.21,100,0,0,6660,0,8,0,966,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.117,0.116,0.096,0.097,0.089,0.089,0.008,0.008,1
1685440651,circsim,-O2,0,236432.334,1624202.0,49439.0,0.21,0.00,0.21,99,0,0,6664,0,8,0,968,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.117,0.117,0.096,0.097,0.089,0.089,0.008,0.008,1
1685440653,circsim,-O2,0,237285.735,1627925.0,49988.0,0.20,0.00,0.21,99,0,0,6716,0,8,0,970,0,472268720,69160352,3,456,432,24,0,278736,4,0.000,0.000,0.117,0.117,0.096,0.097,0.089,0.089,0.008,0.008,1
